ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2023-01-17 12:00:00,3.98e-06,3.98e-06,3.94e-06,3.96e-06,20162.00000000,1673971199999,0.07982696,27,16043.00000000,0.06355260,0
2023-01-17 16:00:00,3.95e-06,3.96e-06,3.93e-06,3.93e-06,9586.00000000,1673985599999,0.03780058,10,5486.00000000,0.02167230,0
2023-01-17 20:00:00,3.95e-06,3.95e-06,3.92e-06,3.93e-06,29736.00000000,1673999999999,0.11691022,15,8511.00000000,0.03360788,0
2023-01-18 00:00:00,3.93e-06,4.13e-06,3.93e-06,4.09e-06,80733.00000000,1674014399999,0.32951522,52,52560.00000000,0.21484440,0
2023-01-18 04:00:00,4.09e-06,4.17e-06,4.08e-06,4.09e-06,48272.00000000,1674028799999,0.19889025,27,19748.00000000,0.08186316,0
2023-01-18 08:00:00,4.09e-06,4.09e-06,4.04e-06,4.08e-06,16139.00000000,1674043199999,0.06548333,15,5012.00000000,0.02035674,0
2023-01-18 12:00:00,4.04e-06,4.16e-06,4.04e-06,4.04e-06,45883.00000000,1674057599999,0.18752738,37,25204.00000000,0.10361063,0
2023-01-18 16:00:00,4.02e-06,4.02e-06,3.84e-06,3.91e-06,486603.00000000,1674071999999,1.90644184,167,270060.00000000,1.05570586,0
2023-01-18 20:00:00,3.92e-06,3.92e-06,3.86e-06,3.86e-06,10615.00000000,1674086399999,0.04120116,7,570.00000000,0.00222300,0
2023-01-19 00:00:00,3.89e-06,3.91e-06,3.89e-06,3.9e-06,3917.00000000,1674100799999,0.01527534,5,525.00000000,0.00205275,0
2023-01-19 04:00:00,3.91e-06,3.91e-06,3.9e-06,3.9e-06,1403.00000000,1674115199999,0.00547233,3,63.00000000,0.00024633,0
2023-01-19 08:00:00,3.9e-06,3.91e-06,3.9e-06,3.91e-06,1472.00000000,1674129599999,0.00575521,3,1472.00000000,0.00575521,0
2023-01-19 12:00:00,3.9e-06,3.92e-06,3.88e-06,3.88e-06,29279.00000000,1674143999999,0.11421153,10,29021.00000000,0.11321049,0
2023-01-19 16:00:00,3.88e-06,3.91e-06,3.86e-06,3.87e-06,22487.00000000,1674158399999,0.08758371,10,17647.00000000,0.06888476,0
2023-01-19 20:00:00,3.88e-06,3.89e-06,3.87e-06,3.87e-06,3599.00000000,1674172799999,0.01393569,5,292.00000000,0.00113534,0
2023-01-20 00:00:00,3.86e-06,3.86e-06,3.86e-06,3.86e-06,1142.00000000,1674187199999,0.00440812,2,43.00000000,0.00016598,0
2023-01-20 04:00:00,3.87e-06,3.88e-06,3.85e-06,3.85e-06,16018.00000000,1674201599999,0.06191171,6,9838.00000000,0.03811871,0
2023-01-20 08:00:00,3.86e-06,3.86e-06,3.86e-06,3.86e-06,32.00000000,1674215999999,0.00012352,1,32.00000000,0.00012352,0
2023-01-20 12:00:00,3.85e-06,3.85e-06,3.85e-06,3.85e-06,5324.00000000,1674230399999,0.02049740,5,4583.00000000,0.01764455,0
2023-01-20 16:00:00,3.85e-06,3.86e-06,3.83e-06,3.86e-06,35456.00000000,1674244799999,0.13638990,14,2966.00000000,0.01144876,0
2023-01-20 20:00:00,3.88e-06,3.92e-06,3.81e-06,3.82e-06,125169.00000000,1674259199999,0.48540976,60,57370.00000000,0.22304834,0
2023-01-21 00:00:00,3.82e-06,3.84e-06,3.79e-06,3.81e-06,44840.00000000,1674273599999,0.17064737,18,23321.00000000,0.08895083,0
2023-01-21 04:00:00,3.81e-06,3.9e-06,3.81e-06,3.85e-06,86663.00000000,1674287999999,0.33442667,23,82891.00000000,0.31993032,0
2023-01-21 08:00:00,3.84e-06,3.84e-06,3.74e-06,3.79e-06,250763.00000000,1674302399999,0.94682654,86,116862.00000000,0.44203438,0
2023-01-21 12:00:00,3.77e-06,3.8e-06,3.73e-06,3.75e-06,81179.00000000,1674316799999,0.30569949,44,13454.00000000,0.05086242,0
2023-01-21 16:00:00,3.77e-06,3.78e-06,3.74e-06,3.76e-06,30499.00000000,1674331199999,0.11477818,22,6186.00000000,0.02331203,0
2023-01-21 20:00:00,3.76e-06,3.78e-06,3.73e-06,3.73e-06,28520.00000000,1674345599999,0.10714047,14,5706.00000000,0.02149267,0
2023-01-22 00:00:00,3.74e-06,3.81e-06,3.73e-06,3.73e-06,47499.00000000,1674359999999,0.17957417,12,46932.00000000,0.17745496,0
2023-01-22 04:00:00,3.75e-06,3.75e-06,3.74e-06,3.74e-06,6115.00000000,1674374399999,0.02292046,6,61.00000000,0.00022875,0
2023-01-22 08:00:00,3.74e-06,3.76e-06,3.73e-06,3.76e-06,2031.00000000,1674388799999,0.00762973,5,1850.00000000,0.00695362,0
2023-01-22 12:00:00,3.76e-06,3.83e-06,3.76e-06,3.8e-06,50778.00000000,1674403199999,0.19232054,24,28106.00000000,0.10643804,0
2023-01-22 16:00:00,3.8e-06,4.09e-06,3.78e-06,3.93e-06,369588.00000000,1674417599999,1.46242401,141,162019.00000000,0.64176029,0
2023-01-22 20:00:00,3.93e-06,3.93e-06,3.86e-06,3.89e-06,123529.00000000,1674431999999,0.48038665,69,22772.00000000,0.08869405,0
2023-01-23 00:00:00,3.88e-06,4.01e-06,3.88e-06,3.96e-06,53646.00000000,1674446399999,0.21116334,33,45484.00000000,0.17885682,0
2023-01-23 04:00:00,3.96e-06,3.97e-06,3.96e-06,3.96e-06,13589.00000000,1674460799999,0.05381286,10,4125.00000000,0.01633500,0
2023-01-23 08:00:00,3.93e-06,3.93e-06,3.9e-06,3.92e-06,24962.00000000,1674475199999,0.09788515,10,17658.00000000,0.06924299,0
2023-01-23 12:00:00,3.91e-06,3.91e-06,3.85e-06,3.86e-06,129889.00000000,1674489599999,0.50238464,54,63657.00000000,0.24645080,0
2023-01-23 16:00:00,3.86e-06,3.87e-06,3.84e-06,3.84e-06,8095.00000000,1674503999999,0.03120490,8,2654.00000000,0.01022348,0
2023-01-23 20:00:00,3.86e-06,3.87e-06,3.84e-06,3.86e-06,8565.00000000,1674518399999,0.03297599,9,725.00000000,0.00279921,0
